D,k,minpoly,degree,rho,classes,rules,code,windows,kappa_min,kappa_max,strict,name
1,4,x^8 - x^7 - x^6 + x^5 - x^4 - x^2 + 1,8,1.558232083340,1,2,21951,11,0.224948,0.224948,1,
1,4,x^7 - x^5 - 2*x^4 - x^3 + x + 1,7,1.555187226376,4,12,12150,10,0.193394,0.259152,1,
1,4,x^6 - x^5 - x^2 - x - 1,6,1.551532410369,4,14,20959,10,0.196788,0.262547,1,
1,4,x^5 - x^4 - x^3 + x - 1,5,1.549906072594,6,24,15727,11,0.232677,0.292929,1,
1,4,x^5 - 2*x^2 - 2*x - 1,5,1.547979024527,6,24,15230,11,0.234472,0.294724,1,
1,4,x^6 - 2*x^5 + 2*x^3 - x^2 - 1,6,1.547330365838,2,4,56751,12,0.266459,0.295329,1,
1,4,x^7 - x^5 - 2*x^3 - x^2 - x - 1,7,1.547009387009,1,2,28087,11,0.235376,0.235376,1,
1,4,x^8 - x^7 - x^6 + x^5 - x^4 - 1,8,1.546273020899,1,4,23991,11,0.236063,0.236063,1,
1,4,x^3 - 2*x^2 + 2*x - 2,3,1.543689012692,1,2,60831,12,0.269858,0.269858,1,
1,4,x^6 - x^5 - x^3 - 1,6,1.538496592213,22,86,7031,10,0.208961,0.303589,1,
1,4,x^5 - x^3 - x^2 - x - 1,5,1.534157744914,20,72,6527,10,0.213035,0.307663,1,
1,4,x^7 - x^6 - x^4 - x^2 + 1,7,1.530993409234,5,14,14687,10,0.216014,0.281773,1,
1,4,x^5 - 2*x^4 + x^3 - 1,5,1.528946354519,18,68,24047,12,0.179943,0.312572,1,
1,4,x^5 - x^4 - x^2 - x + 1,5,1.526261952307,2,8,28127,12,0.286238,0.286238,1,
1,4,x^8 - x^6 - x^5 - 2*x^4 + x + 1,8,1.522266059581,1,2,28150,11,0.258637,0.258637,1,
1,4,x^3 - x - 2,3,1.521379706804,21,72,11900,9,0.187101,0.31973,1,
1,4,x^7 - 2*x^6 + x^5 - x^3 + x^2 - 1,7,1.520633445397,1,4,55799,12,0.291568,0.291568,1,
1,4,x^8 - 2*x^7 + x^6 - x^2 - 1,8,1.518933196878,1,2,55727,11,0.261799,0.261799,1,
1,4,x^7 - x^6 - x^4 - 1,7,1.516784253063,2,8,23479,11,0.263842,0.263842,1,
1,4,x^6 - x^3 - 2*x^2 - 2*x - 1,6,1.515192320636,4,14,21470,10,0.230981,0.29674,1,
1,4,x^4 - x^3 - x^2 + x - 1,4,1.512876396864,98,364,1335,7,0.104545,0.327816,1,
1,4,x^6 - x^5 - x^4 + x^2 - 1,6,1.501594803539,6,24,12155,11,0.278362,0.338614,1,
1,4,x^5 - x^4 - x - 1,5,1.497094048762,40,150,4447,8,0.167835,0.342945,1,
1,4,x^4 - 2*x - 2,4,1.494530180479,1,2,28638,12,0.316549,0.316549,1,
1,4,x^8 - x^7 - x^4 - x^2 - 1,8,1.494182718414,1,4,22975,11,0.285501,0.285501,1,
1,4,x^7 - 2*x^6 + 2*x^4 - x^3 - 1,7,1.493693561180,1,4,56807,12,0.317356,0.317356,1,
1,4,x^8 - x^7 - x^3 - x^2 - x - 1,8,1.490667752463,1,4,23023,11,0.288899,0.288899,1,
1,4,x^8 - 2*x^7 + x^6 - x^4 + x^3 - 1,8,1.489564376147,1,4,55735,11,0.289967,0.289967,1,
1,4,x^7 - x^4 - 2*x^3 - x^2 - x - 1,7,1.488921646045,6,24,7038,10,0.256214,0.321973,1,
1,4,x^7 - 2*x^4 - 2*x^3 - x^2 + x + 1,7,1.487081056594,4,12,15198,10,0.257999,0.323757,1,
1,4,x^8 - x^7 - 2*x^4 + x^3 - x^2 + 1,8,1.482720812011,1,2,31135,11,0.296611,0.296611,1,
1,4,x^7 - x^6 - x^4 + x^2 - x - 1,7,1.482141579615,1,4,28635,12,0.328557,0.328557,1,
1,4,x^6 - x^4 - x^3 - x - 1,6,1.480472056538,4,12,15723,10,0.264425,0.330183,1,
1,4,x^8 - x^7 - x^4 - x - 1,8,1.474812218280,1,4,23031,11,0.304327,0.304327,1,
1,4,x^3 - x^2 - 1,3,1.465571231876,526,1986,791,6,0.094778,0.400376,1,supergolden
1,4,x^7 - x^5 - x^4 - x^3 - x^2 + x + 1,7,1.452411806159,4,12,16234,10,0.292031,0.35779,1,
1,4,x^8 - 2*x^7 + 2*x^5 - x^4 - 1,8,1.451341951453,1,2,56743,11,0.32747,0.32747,1,
1,4,x^5 - x^4 - x^3 + x^2 - 1,5,1.443268791270,20,80,6519,9,0.263141,0.366901,1,
1,4,x^8 - x^7 - x^5 + x^3 - x - 1,8,1.439854685842,1,4,28123,11,0.338935,0.338935,1,
1,4,x^5 - x^4 - 2*x + 1,5,1.438416566585,1,4,28063,11,0.340376,0.340376,1,
1,4,x^8 - x^4 - 2*x^3 - 2*x^2 - 2*x - 1,8,1.437292032859,1,2,23534,11,0.341505,0.341505,1,
1,4,x^6 - x^4 - x^2 - x - 1,6,1.435128647111,2,6,24062,12,0.375061,0.375061,1,
1,4,x^8 - x^5 - x^4 - x^3 - x^2 - x - 1,8,1.431343141235,1,4,23486,11,0.347488,0.347488,1,
1,4,x^7 - x^6 - x^5 + x^4 - x^3 + x^2 - 1,7,1.430041555276,1,4,28603,12,0.380184,0.380184,1,
1,4,x^5 - x^3 - x^2 - 1,5,1.429108319838,6,24,15726,10,0.315367,0.381125,1,
1,4,x^7 - 2*x^6 + 2*x^5 - 2*x^4 + x^3 - x^2 + x - 1,7,1.427058964968,1,4,22967,10,0.317437,0.317437,1,
1,4,x^5 - x^2 - 2*x - 1,5,1.425299577684,22,84,4958,8,0.238735,0.384975,1,
1,4,x^7 - x^5 - x^4 - x^3 + 1,7,1.423078705109,4,12,11638,9,0.283466,0.355842,1,
1,4,x^6 - x^5 - x - 1,6,1.419632762822,17,64,20939,8,0.244482,0.390723,1,
1,4,x^7 - 2*x^6 + x^5 - 1,7,1.417796750806,2,8,24039,11,0.361207,0.361207,1,
1,4,x^7 - x^6 + x^5 - 2*x^4 - x^2 + 1,7,1.415974936823,1,2,31198,11,0.363062,0.363062,1,
1,4,x^2 - 2,2,1.414213562373,1,2,28094,11,0.364858,0.364858,0,
1,4,x^7 - x^4 - x^3 - x^2 - x - 1,7,1.412162551656,6,24,15214,10,0.332576,0.398334,1,
1,4,x^8 - x^5 - x^4 - x^2 - 2*x - 1,8,1.404429419550,1,4,23542,11,0.374874,0.374874,1,
1,4,x^5 - x^4 - x^2 + x - 1,5,1.403602124874,58,228,7796,8,0.260866,0.407107,1,
1,4,x^8 - x^7 - x^6 + x^5 - x^4 + x^3 - 1,8,1.402377305222,1,4,28091,11,0.376983,0.376983,1,
1,4,x^6 - x^4 - x^3 - x^2 + 1,6,1.401268367939,20,72,5756,8,0.263267,0.409507,1,
1,4,x^7 - x^5 - x^3 - x - 1,7,1.399280490395,1,2,32171,11,0.380173,0.380173,1,
1,4,x^7 - x^6 - x^2 - 1,7,1.397035275346,7,28,6511,9,0.310113,0.382489,1,
1,4,x^4 - 2*x - 1,4,1.395336994467,27,96,12126,10,0.311868,0.444496,1,
1,4,x^6 - x^5 - x^4 + x^3 - 1,6,1.393125911943,8,32,8039,10,0.352156,0.417915,1,
1,4,x^7 - x^5 - x^4 - 1,7,1.385005053546,6,24,11642,9,0.32259,0.394967,1,
1,4,x^4 - x^3 - 1,4,1.380277569097,434,1670,279,5,0.115524,0.460152,1,
1,4,x^8 - x^6 - x^4 - x - 1,8,1.372910495665,1,4,24054,11,0.40762,0.40762,1,
1,4,x^7 - x^6 - x - 1,7,1.365254706619,2,6,23527,11,0.415688,0.415688,1,
1,4,x^8 - x^6 - x^4 - x^3 - x^2 + x + 1,8,1.362107327220,1,2,22014,11,0.419018,0.419018,1,
1,4,x^6 - x^5 - x^3 + x^2 - 1,6,1.358859196702,6,24,12123,10,0.388086,0.453845,1,
1,4,x^6 - x^4 - x^2 - 1,6,1.356203065626,1,4,23998,11,0.425285,0.425285,0,
1,4,x^7 - x^6 - x^5 + x^4 - 1,7,1.354947667402,7,28,7527,9,0.354244,0.426621,1,
1,4,x^3 - x^2 + x - 2,3,1.353209964199,1,4,28126,11,0.428472,0.428472,1,
1,4,x^7 - x^4 - x^3 - x - 1,7,1.348447731212,6,24,7030,9,0.361182,0.433558,1,
1,4,x^7 - 2*x^6 + 2*x^5 - 2*x^4 + 2*x^3 - 2*x^2 + x - 1,7,1.348127748041,1,4,22959,10,0.399525,0.399525,1,
1,4,x^6 - x^5 - x^2 + x - 1,6,1.338350132242,10,38,7542,9,0.372026,0.444402,1,
1,4,x^3 - x - 1,3,1.324717957244,696,2676,1588,5,0.174797,0.519425,1,plastic
1,4,x^8 - x^6 - x^4 - x^2 + 1,8,1.312281907876,1,2,21950,10,0.438404,0.438404,0,
1,4,x^7 - x^6 - x^3 + x^2 - 1,7,1.306375272915,1,4,28571,11,0.479289,0.479289,1,
1,4,x^5 - x^4 + x^3 - 2*x^2 + x - 1,5,1.304077155402,36,144,6780,8,0.366971,0.513211,1,
1,4,x^7 - x^3 - x^2 - x - 1,7,1.296466238783,6,24,7022,9,0.417897,0.490273,1,
1,4,x^6 - x^5 - 1,6,1.285199033245,29,112,7015,9,0.339847,0.502866,1,
1,4,x^8 - x^7 - x^4 + x^3 - 1,8,1.281011165294,1,4,28059,10,0.473199,0.473199,1,
1,4,x^4 - x^2 - 1,4,1.272019649514,112,406,1334,6,0.29912,0.54912,0,
1,4,x^7 - x^4 - x^3 - x^2 + 1,7,1.265120898449,4,12,14686,9,0.453206,0.525583,1,
1,4,x^7 - x^4 - x^2 - 1,7,1.263738860810,6,24,14702,9,0.454783,0.52716,1,
1,4,x^3 - 2,3,1.259921049894,21,72,11868,8,0.416667,0.562907,0,
1,4,x^7 - x^6 - 1,7,1.255422871076,8,32,6503,8,0.421827,0.502309,1,
1,4,x^5 - x^4 + x^3 - x^2 - 1,5,1.249851588864,4,14,20958,9,0.470724,0.543101,1,
1,4,x^7 - x^4 - x - 1,7,1.245640190632,6,24,12122,9,0.475594,0.547971,1,
1,4,x^8 - x^3 - x^2 - x - 1,8,1.243347457767,1,4,23022,10,0.516253,0.516253,1,
1,4,x^5 - x^3 - 1,5,1.236505703391,12,48,6526,9,0.486212,0.558589,1,
1,4,x^8 - x^7 - 1,8,1.232054631428,1,4,22951,9,0.491415,0.491415,1,
1,4,x^4 - x - 1,4,1.220744084605,442,1712,790,5,0.292721,0.60848,1,
1,4,x^6 - x^4 - 1,6,1.210607794406,23,78,7780,7,0.426107,0.589126,0,
1,4,x^7 - x^6 + x^5 - x^4 - 1,7,1.198730937425,1,4,23030,10,0.568974,0.568974,1,
1,4,x^5 - x^2 - 1,5,1.193859111321,22,84,14666,7,0.446206,0.609225,1,
1,4,x^7 - x^5 - 1,7,1.190712707081,6,24,7526,8,0.498175,0.578657,1,
1,4,x^4 - 2,4,1.189207115002,1,2,28062,10,0.580482,0.580482,0,
1,4,x^8 - x^6 - 1,8,1.174852147760,1,2,23974,9,0.560002,0.560002,0,
1,4,x^6 - x^3 - 1,6,1.173984996705,36,144,6772,7,0.470425,0.633444,0,
1,4,x^5 - x - 1,5,1.167303978261,120,468,4446,7,0.42306,0.67306,1,
1,4,x^7 - x^4 - 1,7,1.158551893096,6,24,11610,8,0.537677,0.618159,1,
1,4,x^6 - x^2 - 1,6,1.150963925257,25,86,6764,7,0.498996,0.662015,0,
1,4,x^7 - x^3 - 1,7,1.138181861071,6,24,6518,8,0.563269,0.643751,1,
1,4,x^6 - x - 1,6,1.134724138401,17,64,20938,7,0.519497,0.682516,1,
