name,code,orbit,genus,gf2deg,pop,fingerprint,s,bs,C,dt,deg,dnf,cnf
bang_dim=4_code=5820,5820,192,comp,3,8,8 -15 8 -1 0,4,4,4,4,4,5,5
bang_dim=4_code=5821,5821,192,comp,4,9,9 -15 8 -1 0,4,4,4,4,4,6,5
bang_dim=4_code=5822,5822,192,comp,4,9,9 -16 8 -1 0,3,3,3,4,4,4,4
bang_dim=4_code=5823,5823,192,comp,3,10,10 -16 8 -1 0,4,4,4,4,4,5,4
bang_dim=4_code=5865,5865,64,comp,3,8,8 -15 9 -1 0,4,4,4,4,4,7,7
bang_dim=4_code=5866,5866,96,comp,3,8,8 -16 9 -1 0,4,4,4,4,4,5,6
bang_dim=4_code=5867,5867,192,comp,4,9,9 -16 9 -1 0,4,4,4,4,4,6,6
bang_dim=4_code=5870,5870,192,comp,4,9,9 -17 9 -1 0,4,4,4,4,4,5,5
bang_dim=4_code=5871,5871,192,comp,3,10,10 -17 9 -1 0,4,4,4,4,4,6,5
bang_dim=4_code=5886,5886,64,comp,3,10,10 -18 9 -1 0,3,3,3,4,4,5,4
bang_dim=4_code=5887,5887,64,comp,4,11,11 -18 9 -1 0,4,4,4,4,4,4,4
bang_dim=4_code=6014,6014,16,iso,2,10,10 -16 6 0 0,4,4,4,4,4,6,5
bang_dim=4_code=6015,6015,16,iso,4,11,11 -16 6 0 0,3,3,3,4,4,6,4
bang_dim=4_code=6017,6017,16,iso,2,6,6 -10 6 -1 0,4,4,4,4,4,5,6
bang_dim=4_code=6019,6019,96,comp,4,7,7 -11 6 -1 0,4,4,4,4,4,4,5
bang_dim=4_code=6023,6023,192,comp,3,8,8 -12 6 -1 0,4,4,4,4,3,4,4
bang_dim=4_code=6025,6025,64,comp,4,7,7 -12 7 -1 0,3,3,3,4,4,5,6
bang_dim=4_code=6027,6027,192,comp,3,8,8 -13 7 -1 0,3,3,3,4,4,4,5
bang_dim=4_code=6030,6030,96,comp,2,8,8 -14 7 -1 0,3,3,3,3,3,4,4
bang_dim=4_code=6031,6031,192,comp,4,9,9 -14 7 -1 0,3,3,3,4,4,4,4
bang_dim=4_code=6038,6038,64,comp,3,8,8 -13 6 -1 0,4,4,4,4,4,5,5
bang_dim=4_code=6039,6039,64,comp,4,9,9 -13 6 -1 0,4,4,4,4,4,4,4
bang_dim=4_code=6040,6040,192,comp,4,7,7 -13 7 -1 0,3,3,3,4,4,4,5
bang_dim=4_code=6041,6041,192,comp,3,8,8 -13 7 -1 0,3,3,3,4,4,4,5
bang_dim=4_code=6042,6042,384,comp,3,8,8 -14 7 -1 0,3,3,3,3,3,4,4
bang_dim=4_code=6043,6043,384,comp,4,9,9 -14 7 -1 0,3,3,3,4,4,4,4
bang_dim=4_code=6046,6046,192,comp,4,9,9 -15 7 -1 0,4,4,4,4,4,5,4
bang_dim=4_code=6047,6047,192,comp,3,10,10 -15 7 -1 0,3,3,3,3,3,4,3
bang_dim=4_code=6057,6057,96,comp,3,8,8 -14 8 -1 0,4,4,4,4,4,6,6
bang_dim=4_code=6059,6059,96,comp,4,9,9 -15 8 -1 0,3,3,3,4,4,4,5
bang_dim=4_code=6060,6060,384,comp,3,8,8 -15 8 -1 0,3,3,3,4,4,5,5
bang_dim=4_code=6061,6061,384,comp,4,9,9 -15 8 -1 0,4,4,4,4,4,5,5
bang_dim=4_code=6062,6062,384,comp,4,9,9 -16 8 -1 0,3,3,3,4,4,4,4
bang_dim=4_code=6063,6063,384,comp,3,10,10 -16 8 -1 0,3,3,3,4,4,4,4
bang_dim=4_code=6076,6076,192,comp,4,9,9 -16 8 -1 0,3,3,3,4,4,5,4
bang_dim=4_code=6077,6077,192,comp,2,10,10 -16 8 -1 0,4,4,4,4,4,5,4
bang_dim=4_code=6078,6078,192,comp,3,10,10 -17 8 -1 0,4,4,4,4,3,4,4
bang_dim=4_code=6079,6079,192,comp,4,11,11 -17 8 -1 0,3,3,3,4,4,4,3
bang_dim=4_code=6120,6120,32,comp,2,8,8 -16 9 -1 0,3,3,3,4,4,6,6
bang_dim=4_code=6121,6121,64,comp,4,9,9 -16 9 -1 0,4,4,4,4,4,7,6
bang_dim=4_code=6122,6122,192,comp,4,9,9 -17 9 -1 0,3,3,3,4,4,5,5
bang_dim=4_code=6123,6123,192,comp,3,10,10 -17 9 -1 0,4,4,4,4,4,5,5
bang_dim=4_code=6126,6126,192,comp,3,10,10 -18 9 -1 0,3,3,3,4,4,5,4
bang_dim=4_code=6127,6127,192,comp,4,11,11 -18 9 -1 0,4,4,4,4,4,5,4
bang_dim=4_code=6142,6142,64,comp,4,11,11 -19 9 -1 0,4,4,4,4,4,5,4
bang_dim=4_code=6143,6143,64,comp,3,12,12 -19 9 -1 0,3,3,3,4,4,4,3
bang_dim=4_code=6375,6375,32,comp,2,8,8 -14 9 -2 0,4,4,4,4,3,5,5
bang_dim=4_code=6383,6383,64,comp,4,9,9 -16 10 -2 0,4,4,4,4,4,5,4
bang_dim=4_code=6399,6399,32,comp,3,10,10 -17 10 -2 0,3,3,3,4,3,3,3
bang_dim=4_code=6625,6625,48,comp,4,7,7 -13 9 -2 0,4,4,4,4,4,5,5
bang_dim=4_code=6627,6627,192,comp,3,8,8 -14 9 -2 0,4,4,4,4,3,5,5
bang_dim=4_code=6630,6630,192,comp,3,8,8 -15 9 -2 0,4,4,4,4,4,5,5
bang_dim=4_code=6631,6631,192,comp,4,9,9 -15 9 -2 0,4,4,4,4,4,5,5
bang_dim=4_code=6633,6633,192,comp,3,8,8 -15 10 -2 0,4,4,4,4,4,5,5
bang_dim=4_code=6634,6634,192,comp,3,8,8 -16 10 -2 0,3,3,3,3,3,4,4
bang_dim=4_code=6635,6635,384,comp,4,9,9 -16 10 -2 0,4,4,4,4,4,5,4
bang_dim=4_code=6638,6638,192,comp,4,9,9 -17 10 -2 0,3,3,3,4,4,4,4
bang_dim=4_code=6639,6639,192,comp,3,10,10 -17 10 -2 0,4,4,4,4,3,5,4
bang_dim=4_code=6641,6641,48,comp,3,8,8 -14 9 -2 0,4,4,4,4,3,3,4
bang_dim=4_code=6643,6643,192,comp,4,9,9 -15 9 -2 0,4,4,4,4,4,4,4
bang_dim=4_code=6646,6646,192,comp,4,9,9 -16 9 -2 0,4,4,4,4,4,5,5
bang_dim=4_code=6647,6647,192,comp,3,10,10 -16 9 -2 0,4,4,4,4,4,5,4
bang_dim=4_code=6648,6648,96,comp,3,8,8 -16 10 -2 0,3,3,3,3,3,3,4
bang_dim=4_code=6649,6649,192,comp,4,9,9 -16 10 -2 0,3,3,3,4,4,3,4
bang_dim=4_code=6650,6650,384,comp,4,9,9 -17 10 -2 0,3,3,3,4,4,4,4
bang_dim=4_code=6651,6651,384,comp,3,10,10 -17 10 -2 0,3,3,3,3,3,4,3
bang_dim=4_code=6654,6654,192,comp,3,10,10 -18 10 -2 0,4,4,4,4,4,5,4
bang_dim=4_code=6655,6655,192,comp,4,11,11 -18 10 -2 0,3,3,3,4,4,3,3
bang_dim=4_code=7126,7126,192,comp,4,9,9 -16 9 -2 0,4,4,4,4,4,6,5
bang_dim=4_code=7127,7127,192,comp,2,10,10 -16 9 -2 0,4,4,4,4,4,5,4
bang_dim=4_code=7128,7128,24,comp,2,8,8 -16 10 -2 0,2,3,3,3,2,4,4
bang_dim=4_code=7129,7129,192,comp,4,9,9 -16 10 -2 0,3,3,3,4,4,4,4
bang_dim=4_code=7131,7131,192,comp,3,10,10 -17 10 -2 0,3,3,3,3,3,3,3
bang_dim=4_code=7134,7134,192,comp,3,10,10 -18 10 -2 0,4,4,4,4,4,4,4
bang_dim=4_code=7135,7135,192,comp,4,11,11 -18 10 -2 0,3,3,3,4,4,3,3
bang_dim=4_code=7140,7140,96,comp,2,8,8 -16 10 -2 0,3,3,3,3,3,4,4
bang_dim=4_code=7141,7141,384,comp,4,9,9 -16 10 -2 0,4,4,4,4,4,5,4
bang_dim=4_code=7143,7143,192,comp,3,10,10 -17 10 -2 0,4,4,4,4,3,5,4
bang_dim=4_code=7148,7148,384,comp,4,9,9 -18 11 -2 0,3,3,3,4,4,4,4
bang_dim=4_code=7149,7149,384,comp,3,10,10 -18 11 -2 0,4,4,4,4,4,5,4
bang_dim=4_code=7150,7150,384,comp,3,10,10 -19 11 -2 0,3,3,3,3,3,4,3
bang_dim=4_code=7151,7151,384,comp,4,11,11 -19 11 -2 0,4,4,4,4,4,5,3
bang_dim=4_code=7164,7164,192,comp,3,10,10 -19 11 -2 0,3,3,3,3,3,4,3
bang_dim=4_code=7165,7165,384,comp,4,11,11 -19 11 -2 0,4,4,4,4,4,4,3
bang_dim=4_code=7167,7167,192,comp,3,12,12 -20 11 -2 0,3,3,3,3,3,3,2
bang_dim=4_code=7905,7905,48,comp,2,8,8 -16 11 -2 0,4,4,4,4,4,6,6
bang_dim=4_code=7907,7907,192,comp,4,9,9 -17 11 -2 0,4,4,4,4,4,6,5
bang_dim=4_code=7910,7910,48,comp,4,9,9 -18 11 -2 0,4,4,4,4,4,5,5
bang_dim=4_code=7911,7911,96,comp,3,10,10 -18 11 -2 0,4,4,4,4,4,6,5
bang_dim=4_code=7913,7913,96,comp,4,9,9 -18 12 -2 0,4,4,4,4,4,7,6
bang_dim=4_code=7915,7915,192,comp,3,10,10 -19 12 -2 0,4,4,4,4,4,6,5
bang_dim=4_code=7918,7918,48,comp,2,10,10 -20 12 -2 0,4,4,4,4,4,5,4
bang_dim=4_code=7919,7919,96,comp,4,11,11 -20 12 -2 0,4,4,4,4,4,6,4
bang_dim=4_code=7921,7921,96,comp,4,9,9 -17 11 -2 0,4,4,4,4,4,5,5
bang_dim=4_code=7923,7923,384,comp,3,10,10 -18 11 -2 0,4,4,4,4,4,5,4
bang_dim=4_code=7926,7926,192,comp,3,10,10 -19 11 -2 0,4,4,4,4,3,5,4
bang_dim=4_code=7927,7927,192,comp,4,11,11 -19 11 -2 0,4,4,4,4,4,5,4
bang_dim=4_code=7929,7929,192,comp,3,10,10 -19 12 -2 0,4,4,4,4,4,6,5
bang_dim=4_code=7930,7930,192,comp,3,10,10 -20 12 -2 0,3,3,3,4,4,4,4
bang_dim=4_code=7931,7931,384,comp,4,11,11 -20 12 -2 0,4,4,4,4,4,5,4
bang_dim=4_code=7934,7934,192,comp,4,11,11 -21 12 -2 0,3,3,3,4,4,4,3
bang_dim=4_code=7935,7935,192,comp,3,12,12 -21 12 -2 0,4,4,4,4,4,4,3
bang_dim=4_code=8177,8177,48,comp,3,10,10 -18 11 -2 0,3,3,3,4,4,3,4
bang_dim=4_code=8178,8178,96,comp,3,10,10 -19 11 -2 0,3,3,3,4,3,4,4
bang_dim=4_code=8179,8179,192,comp,4,11,11 -19 11 -2 0,3,3,3,4,4,4,3
bang_dim=4_code=8182,8182,96,comp,4,11,11 -20 11 -2 0,4,4,4,4,4,5,4
bang_dim=4_code=8183,8183,96,comp,3,12,12 -20 11 -2 0,4,4,4,4,3,5,3
bang_dim=4_code=8184,8184,48,comp,3,10,10 -20 12 -2 0,3,3,3,4,4,4,4
bang_dim=4_code=8185,8185,96,comp,4,11,11 -20 12 -2 0,4,4,4,4,4,4,4
bang_dim=4_code=8186,8186,192,comp,4,11,11 -21 12 -2 0,3,3,3,4,4,4,3
bang_dim=4_code=8187,8187,192,comp,3,12,12 -21 12 -2 0,4,4,4,4,4,4,3
bang_dim=4_code=8190,8190,96,comp,3,12,12 -22 12 -2 0,4,4,4,4,3,4,3
bang_dim=4_code=8191,8191,96,comp,4,13,13 -22 12 -2 0,3,3,3,4,4,3,2
bang_dim=4_code=15555,15555,8,comp,1,8,8 -16 12 -3 0,3,3,3,3,3,4,4
bang_dim=4_code=15559,15559,64,comp,4,9,9 -17 12 -3 0,4,4,4,4,4,5,4
bang_dim=4_code=15567,15567,32,comp,3,10,10 -19 13 -3 0,3,3,3,3,3,4,3
bang_dim=4_code=15575,15575,96,comp,3,10,10 -18 12 -3 0,4,4,4,4,4,5,4
bang_dim=4_code=15579,15579,96,comp,3,10,10 -19 13 -3 0,4,4,4,4,3,5,4
bang_dim=4_code=15583,15583,192,comp,4,11,11 -20 13 -3 0,4,4,4,4,4,5,3
bang_dim=4_code=15615,15615,48,comp,2,12,12 -22 14 -3 0,3,3,3,3,3,3,2
bang_dim=4_code=15830,15830,64,comp,3,10,10 -19 12 -3 0,4,4,4,4,4,7,5
bang_dim=4_code=15831,15831,64,comp,4,11,11 -19 12 -3 0,4,4,4,4,4,6,4
bang_dim=4_code=15834,15834,96,comp,3,10,10 -20 13 -3 0,4,4,4,4,4,6,4
bang_dim=4_code=15835,15835,192,comp,4,11,11 -20 13 -3 0,4,4,4,4,4,5,4
bang_dim=4_code=15838,15838,192,comp,4,11,11 -21 13 -3 0,4,4,4,4,4,6,4
bang_dim=4_code=15839,15839,192,comp,3,12,12 -21 13 -3 0,4,4,4,4,4,5,3
bang_dim=4_code=15853,15853,192,comp,4,11,11 -21 14 -3 0,4,4,4,4,4,5,3
bang_dim=4_code=15855,15855,192,comp,3,12,12 -22 14 -3 0,4,4,4,4,3,5,3
bang_dim=4_code=15869,15869,96,comp,3,12,12 -22 14 -3 0,3,3,3,3,3,4,2
bang_dim=4_code=15870,15870,192,comp,3,12,12 -23 14 -3 0,4,4,4,4,4,5,3
bang_dim=4_code=15871,15871,192,comp,4,13,13 -23 14 -3 0,4,4,4,4,4,4,2
bang_dim=4_code=16380,16380,16,comp,2,12,12 -24 15 -3 0,3,3,3,3,2,3,2
bang_dim=4_code=16381,16381,64,comp,4,13,13 -24 15 -3 0,4,4,4,4,4,4,2
bang_dim=4_code=16383,16383,32,comp,3,14,14 -25 15 -3 0,3,3,3,3,3,3,1
bang_dim=4_code=27030,27030,2,iso,1,8,8 -16 12 -4 0,4,4,4,4,4,8,8
bang_dim=4_code=27031,27031,16,iso,4,9,9 -16 12 -4 0,4,4,4,4,4,8,7
bang_dim=4_code=27039,27039,48,comp,3,10,10 -18 13 -4 0,4,4,4,4,4,7,6
bang_dim=4_code=27071,27071,64,comp,4,11,11 -20 14 -4 0,4,4,4,4,4,7,5
bang_dim=4_code=27135,27135,16,comp,2,12,12 -22 15 -4 0,4,4,4,4,4,5,4
bang_dim=4_code=27581,27581,16,iso,4,11,11 -21 15 -4 0,4,4,4,4,4,7,5
bang_dim=4_code=27583,27583,16,iso,3,12,12 -22 15 -4 0,4,4,4,4,4,7,4
bang_dim=4_code=27606,27606,8,iso,3,10,10 -20 14 -4 0,4,4,4,4,4,8,6
bang_dim=4_code=27607,27607,48,comp,4,11,11 -20 14 -4 0,4,4,4,4,4,6,5
bang_dim=4_code=27615,27615,96,comp,3,12,12 -22 15 -4 0,4,4,4,4,4,6,4
bang_dim=4_code=27645,27645,64,comp,3,12,12 -23 16 -4 0,4,4,4,4,4,6,4
bang_dim=4_code=27647,27647,64,comp,4,13,13 -24 16 -4 0,4,4,4,4,4,5,3
bang_dim=4_code=28662,28662,12,comp,2,12,12 -24 16 -4 0,4,4,4,4,4,4,4
bang_dim=4_code=28663,28663,48,comp,4,13,13 -24 16 -4 0,4,4,4,4,4,5,3
bang_dim=4_code=28665,28665,24,comp,2,12,12 -24 17 -4 0,4,4,4,4,3,5,4
bang_dim=4_code=28667,28667,96,comp,4,13,13 -25 17 -4 0,4,4,4,4,4,5,3
bang_dim=4_code=28671,28671,48,comp,3,14,14 -26 17 -4 0,4,4,4,4,4,4,2
bang_dim=4_code=32511,32511,32,comp,3,14,14 -27 18 -4 0,4,4,4,4,3,4,2
bang_dim=4_code=32766,32766,8,iso,3,14,14 -28 18 -4 0,4,4,4,4,4,4,2
bang_dim=4_code=32767,32767,16,iso,4,15,15 -28 18 -4 0,4,4,4,4,4,4,1
bang_dim=4_code=65535,65535,1,iso,0,16,16 -32 24 -8 1,0,0,0,0,0,1,0
