name,code,orbit,genus,gf2deg,pop,fingerprint,s,bs,C,dt,deg,dnf,cnf
mrly_01712,1712,96,comp,4,5,5 -10 6 -1 0,4,4,4,4,4,4,5
mrly_01713,1713,384,comp,3,6,6 -10 6 -1 0,4,4,4,4,4,4,5
mrly_01714,1714,192,comp,3,6,6 -11 6 -1 0,4,4,4,4,3,4,4
mrly_01715,1715,384,comp,4,7,7 -11 6 -1 0,4,4,4,4,4,4,4
mrly_01716,1716,192,comp,3,6,6 -11 6 -1 0,4,4,4,4,3,4,5
mrly_01717,1717,384,comp,4,7,7 -11 6 -1 0,4,4,4,4,4,4,5
mrly_01718,1718,192,comp,4,7,7 -12 6 -1 0,3,3,3,4,4,4,4
mrly_01719,1719,384,comp,3,8,8 -12 6 -1 0,3,3,3,3,3,4,4
mrly_01721,1721,192,comp,4,7,7 -12 7 -1 0,4,4,4,4,4,5,5
mrly_01723,1723,192,comp,3,8,8 -13 7 -1 0,4,4,4,4,4,4,4
mrly_01725,1725,192,comp,3,8,8 -13 7 -1 0,4,4,4,4,4,5,5
mrly_01727,1727,192,comp,4,9,9 -14 7 -1 0,3,3,3,4,4,4,4
mrly_01776,1776,48,comp,3,6,6 -12 7 -1 0,4,4,4,4,4,3,4
mrly_01777,1777,192,comp,4,7,7 -12 7 -1 0,4,4,4,4,4,4,5
mrly_01778,1778,192,comp,4,7,7 -13 7 -1 0,4,4,4,4,4,3,4
mrly_01779,1779,384,comp,3,8,8 -13 7 -1 0,4,4,4,4,4,4,4
mrly_01782,1782,96,comp,2,8,8 -14 7 -1 0,3,3,3,3,3,3,3
mrly_01783,1783,192,comp,4,9,9 -14 7 -1 0,3,3,3,4,4,4,3
mrly_01785,1785,96,comp,2,8,8 -14 8 -1 0,4,4,4,4,4,5,5
mrly_01787,1787,192,comp,4,9,9 -15 8 -1 0,4,4,4,4,4,5,4
mrly_01791,1791,96,comp,3,10,10 -16 8 -1 0,3,3,3,4,4,3,3
mrly_01910,1910,48,comp,3,8,8 -12 4 0 0,4,4,4,4,3,4,3
mrly_01911,1911,48,comp,4,9,9 -12 4 0 0,2,2,2,4,4,4,2
mrly_01912,1912,96,comp,4,7,7 -12 5 0 0,4,4,4,4,4,5,5
mrly_01913,1913,96,comp,3,8,8 -12 5 0 0,4,4,4,4,4,6,5
mrly_01914,1914,192,comp,3,8,8 -13 5 0 0,3,3,3,4,4,5,4
mrly_01915,1915,192,comp,4,9,9 -13 5 0 0,4,4,4,4,4,5,4
mrly_01918,1918,96,comp,4,9,9 -14 5 0 0,4,4,4,4,4,5,4
mrly_01919,1919,96,comp,3,10,10 -14 5 0 0,3,3,3,4,4,5,3
mrly_01968,1968,96,comp,3,6,6 -11 6 -1 0,3,3,3,4,3,4,4
mrly_01969,1969,384,comp,4,7,7 -11 6 -1 0,3,3,3,4,4,4,4
mrly_01971,1971,192,comp,3,8,8 -12 6 -1 0,3,3,3,3,3,4,3
mrly_01972,1972,384,comp,4,7,7 -12 6 -1 0,3,3,3,4,4,4,4
mrly_01973,1973,384,comp,3,8,8 -12 6 -1 0,3,3,3,4,3,4,4
mrly_01974,1974,384,comp,3,8,8 -13 6 -1 0,4,4,4,4,4,5,4
mrly_01975,1975,384,comp,4,9,9 -13 6 -1 0,3,3,3,4,4,4,3
mrly_01980,1980,192,comp,3,8,8 -14 7 -1 0,3,3,3,3,3,4,4
mrly_01981,1981,384,comp,4,9,9 -14 7 -1 0,4,4,4,4,4,4,4
mrly_01983,1983,192,comp,3,10,10 -15 7 -1 0,3,3,3,3,3,4,3
mrly_02016,2016,48,comp,3,6,6 -12 7 -1 0,3,3,3,4,4,4,4
mrly_02017,2017,192,comp,4,7,7 -12 7 -1 0,3,3,3,4,4,5,5
mrly_02018,2018,192,comp,4,7,7 -13 7 -1 0,3,3,3,4,4,4,4
mrly_02019,2019,384,comp,3,8,8 -13 7 -1 0,3,3,3,4,4,4,4
mrly_02022,2022,96,comp,3,8,8 -14 7 -1 0,3,3,3,3,3,4,3
mrly_02023,2023,192,comp,4,9,9 -14 7 -1 0,3,3,3,4,4,4,3
mrly_02025,2025,96,comp,3,8,8 -14 8 -1 0,4,4,4,4,4,6,5
mrly_02027,2027,192,comp,4,9,9 -15 8 -1 0,4,4,4,4,4,4,4
mrly_02031,2031,96,comp,3,10,10 -16 8 -1 0,3,3,3,4,4,4,3
mrly_02032,2032,96,comp,4,7,7 -13 7 -1 0,3,3,3,4,4,3,3
mrly_02033,2033,192,comp,3,8,8 -13 7 -1 0,3,3,3,4,4,4,4
mrly_02034,2034,384,comp,3,8,8 -14 7 -1 0,3,3,3,3,3,3,3
mrly_02035,2035,384,comp,4,9,9 -14 7 -1 0,3,3,3,4,4,3,3
mrly_02038,2038,192,comp,4,9,9 -15 7 -1 0,4,4,4,4,4,4,3
mrly_02039,2039,192,comp,3,10,10 -15 7 -1 0,3,3,3,3,3,3,2
mrly_02040,2040,192,comp,3,8,8 -15 8 -1 0,3,3,3,4,4,4,4
mrly_02041,2041,192,comp,4,9,9 -15 8 -1 0,4,4,4,4,4,5,4
mrly_02042,2042,384,comp,4,9,9 -16 8 -1 0,3,3,3,4,4,4,3
mrly_02043,2043,384,comp,3,10,10 -16 8 -1 0,4,4,4,4,4,4,3
mrly_02046,2046,192,comp,3,10,10 -17 8 -1 0,4,4,4,4,3,4,3
mrly_02047,2047,192,comp,4,11,11 -17 8 -1 0,3,3,3,4,4,3,2
mrly_04080,4080,12,comp,1,8,8 -16 10 -2 0,2,2,2,2,2,2,2
mrly_04081,4081,96,comp,4,9,9 -16 10 -2 0,3,3,3,4,4,3,3
mrly_04083,4083,96,comp,3,10,10 -17 10 -2 0,3,3,3,3,3,3,2
mrly_04086,4086,48,comp,3,10,10 -18 10 -2 0,4,4,4,4,4,4,3
mrly_04087,4087,96,comp,4,11,11 -18 10 -2 0,4,4,4,4,4,4,2
mrly_04095,4095,24,comp,2,12,12 -20 11 -2 0,2,2,2,2,2,2,1
mrly_05736,5736,8,iso,3,6,6 -12 6 0 0,4,4,4,4,4,6,8
mrly_05737,5737,16,iso,4,7,7 -12 6 0 0,4,4,4,4,4,7,8
mrly_05738,5738,64,comp,4,7,7 -13 6 0 0,4,4,4,4,4,6,7
mrly_05739,5739,64,comp,3,8,8 -13 6 0 0,4,4,4,4,4,7,7
mrly_05742,5742,96,comp,3,8,8 -14 6 0 0,4,4,4,4,4,6,6
mrly_05743,5743,96,comp,4,9,9 -14 6 0 0,4,4,4,4,4,6,6
mrly_05758,5758,64,comp,4,9,9 -15 6 0 0,3,3,3,4,4,6,5
mrly_05759,5759,64,comp,3,10,10 -15 6 0 0,4,4,4,4,4,6,5
mrly_05761,5761,16,iso,4,5,5 -9 6 -1 0,4,4,4,4,4,5,7
mrly_05763,5763,96,comp,3,6,6 -10 6 -1 0,4,4,4,4,4,5,6
mrly_05766,5766,96,comp,3,6,6 -11 6 -1 0,4,4,4,4,3,4,5
mrly_05767,5767,192,comp,4,7,7 -11 6 -1 0,4,4,4,4,4,5,5
mrly_05769,5769,64,comp,3,6,6 -11 7 -1 0,4,4,4,4,4,5,7
mrly_05771,5771,192,comp,4,7,7 -12 7 -1 0,4,4,4,4,4,5,6
mrly_05774,5774,192,comp,4,7,7 -13 7 -1 0,4,4,4,4,4,4,5
mrly_05775,5775,192,comp,3,8,8 -13 7 -1 0,4,4,4,4,4,5,5
mrly_05782,5782,64,comp,4,7,7 -12 6 -1 0,4,4,4,4,4,4,5
mrly_05783,5783,64,comp,3,8,8 -12 6 -1 0,4,4,4,4,3,5,5
mrly_05784,5784,96,comp,3,6,6 -12 7 -1 0,4,4,4,4,4,4,6
mrly_05785,5785,192,comp,4,7,7 -12 7 -1 0,4,4,4,4,4,5,6
mrly_05786,5786,384,comp,4,7,7 -13 7 -1 0,4,4,4,4,4,4,5
mrly_05787,5787,384,comp,3,8,8 -13 7 -1 0,4,4,4,4,4,5,5
mrly_05790,5790,192,comp,3,8,8 -14 7 -1 0,3,3,3,3,3,4,4
mrly_05791,5791,192,comp,4,9,9 -14 7 -1 0,4,4,4,4,4,5,4
mrly_05801,5801,96,comp,4,7,7 -13 8 -1 0,4,4,4,4,4,6,7
mrly_05803,5803,96,comp,3,8,8 -14 8 -1 0,4,4,4,4,4,5,6
mrly_05804,5804,192,comp,4,7,7 -14 8 -1 0,4,4,4,4,4,5,6
mrly_05805,5805,384,comp,3,8,8 -14 8 -1 0,4,4,4,4,4,6,6
mrly_05806,5806,384,comp,3,8,8 -15 8 -1 0,4,4,4,4,4,4,5
mrly_05807,5807,384,comp,4,9,9 -15 8 -1 0,4,4,4,4,4,5,5
mrly_05820,5820,192,comp,3,8,8 -15 8 -1 0,4,4,4,4,4,5,5
mrly_05821,5821,192,comp,4,9,9 -15 8 -1 0,4,4,4,4,4,6,5
mrly_05822,5822,192,comp,4,9,9 -16 8 -1 0,3,3,3,4,4,4,4
mrly_05823,5823,192,comp,3,10,10 -16 8 -1 0,4,4,4,4,4,5,4
mrly_05865,5865,64,comp,3,8,8 -15 9 -1 0,4,4,4,4,4,7,7
mrly_05866,5866,96,comp,3,8,8 -16 9 -1 0,4,4,4,4,4,5,6
mrly_05867,5867,192,comp,4,9,9 -16 9 -1 0,4,4,4,4,4,6,6
mrly_05870,5870,192,comp,4,9,9 -17 9 -1 0,4,4,4,4,4,5,5
mrly_05871,5871,192,comp,3,10,10 -17 9 -1 0,4,4,4,4,4,6,5
mrly_05886,5886,64,comp,3,10,10 -18 9 -1 0,3,3,3,4,4,5,4
mrly_05887,5887,64,comp,4,11,11 -18 9 -1 0,4,4,4,4,4,4,4
mrly_06014,6014,16,iso,2,10,10 -16 6 0 0,4,4,4,4,4,6,5
mrly_06015,6015,16,iso,4,11,11 -16 6 0 0,3,3,3,4,4,6,4
mrly_06017,6017,16,iso,2,6,6 -10 6 -1 0,4,4,4,4,4,5,6
mrly_06019,6019,96,comp,4,7,7 -11 6 -1 0,4,4,4,4,4,4,5
mrly_06023,6023,192,comp,3,8,8 -12 6 -1 0,4,4,4,4,3,4,4
mrly_06025,6025,64,comp,4,7,7 -12 7 -1 0,3,3,3,4,4,5,6
mrly_06027,6027,192,comp,3,8,8 -13 7 -1 0,3,3,3,4,4,4,5
mrly_06030,6030,96,comp,2,8,8 -14 7 -1 0,3,3,3,3,3,4,4
mrly_06031,6031,192,comp,4,9,9 -14 7 -1 0,3,3,3,4,4,4,4
mrly_06038,6038,64,comp,3,8,8 -13 6 -1 0,4,4,4,4,4,5,5
mrly_06039,6039,64,comp,4,9,9 -13 6 -1 0,4,4,4,4,4,4,4
mrly_06040,6040,192,comp,4,7,7 -13 7 -1 0,3,3,3,4,4,4,5
mrly_06041,6041,192,comp,3,8,8 -13 7 -1 0,3,3,3,4,4,4,5
mrly_06042,6042,384,comp,3,8,8 -14 7 -1 0,3,3,3,3,3,4,4
mrly_06043,6043,384,comp,4,9,9 -14 7 -1 0,3,3,3,4,4,4,4
mrly_06046,6046,192,comp,4,9,9 -15 7 -1 0,4,4,4,4,4,5,4
mrly_06047,6047,192,comp,3,10,10 -15 7 -1 0,3,3,3,3,3,4,3
mrly_06057,6057,96,comp,3,8,8 -14 8 -1 0,4,4,4,4,4,6,6
mrly_06059,6059,96,comp,4,9,9 -15 8 -1 0,3,3,3,4,4,4,5
mrly_06060,6060,384,comp,3,8,8 -15 8 -1 0,3,3,3,4,4,5,5
mrly_06061,6061,384,comp,4,9,9 -15 8 -1 0,4,4,4,4,4,5,5
mrly_06062,6062,384,comp,4,9,9 -16 8 -1 0,3,3,3,4,4,4,4
mrly_06063,6063,384,comp,3,10,10 -16 8 -1 0,3,3,3,4,4,4,4
mrly_06076,6076,192,comp,4,9,9 -16 8 -1 0,3,3,3,4,4,5,4
mrly_06077,6077,192,comp,2,10,10 -16 8 -1 0,4,4,4,4,4,5,4
mrly_06078,6078,192,comp,3,10,10 -17 8 -1 0,4,4,4,4,3,4,4
mrly_06079,6079,192,comp,4,11,11 -17 8 -1 0,3,3,3,4,4,4,3
mrly_06120,6120,32,comp,2,8,8 -16 9 -1 0,3,3,3,4,4,6,6
mrly_06121,6121,64,comp,4,9,9 -16 9 -1 0,4,4,4,4,4,7,6
mrly_06122,6122,192,comp,4,9,9 -17 9 -1 0,3,3,3,4,4,5,5
mrly_06123,6123,192,comp,3,10,10 -17 9 -1 0,4,4,4,4,4,5,5
mrly_06126,6126,192,comp,3,10,10 -18 9 -1 0,3,3,3,4,4,5,4
